fdc_id,description,protein_g,fat_g,carbs_g,calories_kcal,fiber_g,sodium_mg,saturated_fat_g
169831,"APPLEBEE'S, 9 oz house sirloin steak",26.85,9.08,0.0,189.0,,604.0,3.477
169008,"APPLEBEE'S, Double Crunch Shrimp",12.31,18.9,25.96,323.0,2.6,838.0,3.366
169010,"APPLEBEE'S, KRAFT, Macaroni & Cheese, from kid's menu",5.01,4.34,21.08,143.0,1.3,288.0,1.312
169841,"APPLEBEE'S, chicken tenders platter",19.62,16.24,17.98,297.0,1.0,740.0,2.849
169012,"APPLEBEE'S, chicken tenders, from kids' menu",19.25,16.15,18.36,296.0,1.2,763.0,2.852
169018,"APPLEBEE'S, chili",12.56,9.79,4.57,157.0,1.4,381.0,4.15
169020,"APPLEBEE'S, coleslaw",0.79,7.09,13.17,120.0,2.8,178.0,1.061
169840,"APPLEBEE'S, crunchy onion rings",4.58,19.61,40.17,356.0,3.1,833.0,3.574
169017,"APPLEBEE'S, fish, hand battered",13.23,9.14,16.65,202.0,0.9,607.0,1.613
169009,"APPLEBEE'S, french fries",3.31,13.17,39.5,290.0,3.9,618.0,2.333
169011,"APPLEBEE'S, mozzarella sticks",14.87,18.37,22.87,316.0,2.1,838.0,6.73
170791,"ARBY'S, roast beef sandwich, classic",15.17,10.3,22.21,242.0,1.3,653.0,3.399
167782,"Abiyuch, raw",1.5,0.1,17.6,69.0,5.3,20.0,0.014
171687,"Acerola juice, raw",0.4,0.3,4.8,23.0,0.3,3.0,0.068
171686,"Acerola, (west indian cherry), raw",0.4,0.3,7.69,32.0,1.1,7.0,0.068
168061,Acorn stew (Apache),6.81,3.47,9.22,95.0,0.7,130.0,1.28
168992,"Agave, cooked (Southwest)",0.99,0.29,32.0,135.0,10.6,13.0,
168993,"Agave, dried (Southwest)",1.71,0.69,81.98,341.0,15.6,14.0,
169814,"Agave, raw (Southwest)",0.52,0.15,16.23,68.0,6.6,14.0,
169823,"Agutuk, fish with shortening (Alaskan ice cream) (Alaska Native)",9.0,43.5,10.5,470.0,,24.0,8.6
168976,"Agutuk, fish/berry with seal oil (Alaskan ice cream) (Alaska Native)",3.4,31.8,13.4,353.0,0.5,21.0,7.7
168977,"Agutuk, meat-caribou (Alaskan ice cream) (Alaska Native)",21.7,18.6,0.9,258.0,,95.0,5.1
173191,"Alcoholic Beverage, wine, table, red, Barbera",0.07,0.0,2.79,85.0,,,
173208,"Alcoholic Beverage, wine, table, red, Burgundy",0.07,0.0,3.69,86.0,,,
174834,"Alcoholic Beverage, wine, table, red, Cabernet Franc",0.07,0.0,2.45,83.0,,,
174833,"Alcoholic Beverage, wine, table, red, Cabernet Sauvignon",0.07,0.0,2.6,83.0,,,
174840,"Alcoholic Beverage, wine, table, red, Carignane",0.07,0.0,2.4,74.0,,,
173194,"Alcoholic Beverage, wine, table, red, Claret",0.07,0.0,3.01,83.0,,,
171872,"Alcoholic Beverage, wine, table, red, Gamay",0.07,0.0,2.38,78.0,,,
174838,"Alcoholic Beverage, wine, table, red, Lemberger",0.07,0.0,2.46,80.0,,,
171925,"Alcoholic Beverage, wine, table, red, Merlot",0.07,0.0,2.51,83.0,0.0,4.0,
174109,"Alcoholic Beverage, wine, table, red, Mouvedre",0.07,0.0,2.64,88.0,,,
173193,"Alcoholic Beverage, wine, table, red, Petite Sirah",0.07,0.0,2.68,85.0,,,
174835,"Alcoholic Beverage, wine, table, red, Pinot Noir",0.07,0.0,2.31,82.0,,,
174839,"Alcoholic Beverage, wine, table, red, Sangiovese",0.07,0.0,2.62,86.0,,,
174836,"Alcoholic Beverage, wine, table, red, Syrah",0.07,0.0,2.58,83.0,,,
173192,"Alcoholic Beverage, wine, table, red, Zinfandel",0.07,0.0,2.86,88.0,,,
168749,"Alcoholic beverage, beer, light",0.24,0.0,1.64,29.0,0.0,4.0,0.0
169572,"Alcoholic beverage, beer, light, BUD LIGHT",0.25,0.0,1.3,29.0,0.0,3.0,
168748,"Alcoholic beverage, beer, light, BUDWEISER SELECT",0.2,0.0,0.87,28.0,0.0,3.0,
174145,"Alcoholic beverage, beer, light, higher alcohol",0.25,0.0,0.77,46.0,0.0,4.0,0.0
169575,"Alcoholic beverage, beer, light, low carb",0.17,0.0,0.73,27.0,0.0,3.0,0.0
168747,"Alcoholic beverage, beer, regular, BUDWEISER",0.36,0.0,2.97,41.0,0.0,3.0,
168746,"Alcoholic beverage, beer, regular, all",0.46,0.0,3.55,43.0,0.0,4.0,0.0
